Date,Close
2023-07-01,100.50
2023-07-02,102.20
2023-07-03,105.10
2023-07-04,103.80
2023-07-05,101.70
2023-07-06,99.90
2023-07-07,97.50
2023-07-08,96.80
2023-07-09,98.20
2023-07-10,99.70
2023-07-11,101.50
2023-07-12,102.80
2023-07-13,103.30
2023-07-14,104.50
2023-07-15,106.20
2023-07-16,105.60
2023-07-17,104.90
2023-07-18,103.40
2023-07-19,101.80
2023-07-20,102.10
2023-07-21,103.00
2023-07-22,101.50
2023-07-23,100.80
2023-07-24,99.50
2023-07-25,98.70
2023-07-26,97.80
2023-07-27,96.60
2023-07-28,97.20
2023-07-29,96.90
2023-07-30,95.50
